,,,,,
,IMPACTADOS,Real Total,,CH,Real Total
,2023,0,,2024,0
,1T23,0,,1T23,0
,Janeiro,0,,Janeiro,0
,01/01/2024,,,01/01/2024,
,08/01/2024,,,08/01/2024,
,15/01/2024,,,15/01/2024,
,22/01/2024,,,22/01/2024,
,29/01/2024,,,29/01/2024,
,Fevereiro,0,,Fevereiro,0
,05/02/2024,,,05/02/2024,
,12/02/2024,,,12/02/2024,
,19/02/2024,,,19/02/2024,
,26/02/2024,,,26/02/2024,
,Março,0,,Março,0
,04/03/2024,,,04/03/2024,
,11/03/2024,,,11/03/2024,
,18/03/2024,,,18/03/2024,
,25/03/2024,,,25/03/2024,
,2T23,0,,2T23,0
,Abril,0,,Abril,0
,01/04/2024,,,01/04/2024,
,08/04/2024,,,08/04/2024,
,15/04/2024,,,15/04/2024,
,22/04/2024,,,22/04/2024,
,29/04/2024,,,29/04/2024,
,Maio,0,,Maio,0
,06/05/2024,,,06/05/2024,
,13/05/2024,,,13/05/2024,
,20/05/2024,,,20/05/2024,
,27/05/2024,,,27/05/2024,
,Junho,0,,Junho,0
,03/06/2024,,,03/06/2024,
,10/06/2024,,,10/06/2024,
,17/06/2024,,,17/06/2024,
,24/06/2024,,,24/06/2024,
,3T23,0,,3T23,0
,Julho,0,,Julho,0
,01/07/2024,,,01/07/2024,
,08/07/2024,,,08/07/2024,
,15/07/2024,,,15/07/2024,
,22/07/2024,,,22/07/2024,
,29/07/2024,,,29/07/2024,
,Agosto,0,,Agosto,0
,05/08/2024,,,05/08/2024,
,12/08/2024,,,12/08/2024,
,19/08/2024,,,19/08/2024,
,26/08/2024,,,26/08/2024,
,Setembro,0,,Setembro,0
,02/09/2024,,,02/09/2024,
,09/09/2024,,,09/09/2024,
,16/09/2024,,,16/09/2024,
,23/09/2024,,,23/09/2024,
,30/09/2024,,,30/09/2024,
,4T23,0,,4T23,0
,Outubro,0,,Outubro,0
,07/10/2024,,,07/10/2024,
,14/10/2024,,,14/10/2024,
,21/10/2024,,,21/10/2024,
,28/10/2024,,,28/10/2024,
,Novembro,0,,Novembro,0
,04/11/2024,,,04/11/2024,
,11/11/2024,,,11/11/2024,
,18/11/2024,,,18/11/2024,
,25/11/2024,,,25/11/2024,
,Dezembro,0,,Dezembro,0
,02/12/2024,,,02/12/2024,
,09/12/2024,,,09/12/2024,
,16/12/2024,,,16/12/2024,
,23/12/2024,,,23/12/2024,
,30/12/2024,,,30/12/2024,